OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,geo_shape,geo_point_2d
1,1.0,Herschel St app Nth Quay (r) (Stop 1),HERSCHEL ST,,501885.0,6961746.0,-27.467834,153.019079,BRISBANE CITY,4 - Regular,N,Hard,Easy,Easy,,"{""coordinates"": [153.01908472902778, -27.467821136088542], ""type"": ""Point""}","-27.467821136088542, 153.01908472902778"
2,2.0,Herschel St app Nth Quay (Stop 2),NORTH QUAY,,501851.9,6961717.1,-27.468095,153.018744,BRISBANE CITY,3 - Regular with seat,N,Hard,Easy,Easy,,"{""coordinates"": [153.01874975739045, -27.468082090506922], ""type"": ""Point""}","-27.468082090506922, 153.01874975739045"
3,3.0,Turbot St F/S Albert St (Stop 3),TURBOT ST,,502311.3,6961837.3,-27.467009,153.023393,BRISBANE CITY,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.02339927439039, -27.466996222893275], ""type"": ""Point""}","-27.466996222893275, 153.02339927439039"
4,4.0,Turbot St F/S Wharf St (Stop 4),TURBOT ST,Wharf St,502805.7,6962247.3,-27.463306,153.028396,SPRING HILL,2 - Intermediate,Y,Easy,Easy,Medium,2018-02-06T11:00:00+10:00,"{""coordinates"": [153.02840227015676, -27.463293815144574], ""type"": ""Point""}","-27.463293815144574, 153.02840227015676"
5,5.0,Ann Street F/S Orient Hotel (Stop 5),ANN ST,Queen St,503022.1,6962290.4,-27.462917,153.030586,BRISBANE CITY,3 - Regular with seat,Y,Medium,Medium,Hard,,"{""coordinates"": [153.03059232712772, -27.46290424493088], ""type"": ""Point""}","-27.46290424493088, 153.03059232712772"
6,6.0,Ann St app Wharf St (Stop 6),ANN ST,Creek St,502880.6,6962169.0,-27.464013,153.029154,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02916051198983, -27.464000550731047], ""type"": ""Point""}","-27.464000550731047, 153.02916051198983"
7,7.0,Ann St at Anzac Square,ANN ST,Creek St,502623.6,6961944.0,-27.466045,153.026554,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0265599087023, -27.466032369532993], ""type"": ""Point""}","-27.466032369532993, 153.0265599087023"
8,8.0,Central Ann Street Stop 8,ANN ST,Edward St,502569.1,6961895.0,-27.466487,153.026002,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,2018-03-14T11:00:00+10:00,"{""coordinates"": [153.02600840936523, -27.466474845234096], ""type"": ""Point""}","-27.466474845234096, 153.02600840936523"
9,9.0,Ann St aT KGS,ANN ST,Edward St,502466.1,6961808.0,-27.467273,153.02496,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02496610279186, -27.467260471231228], ""type"": ""Point""}","-27.467260471231228, 153.02496610279186"
10,11.0,Ann Street Stop 11,ANN ST,George St,502266.7,6961637.1,-27.468816,153.022942,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2018-05-23T12:00:00+10:00,"{""coordinates"": [153.02294824083498, -27.468803701832467], ""type"": ""Point""}","-27.468803701832467, 153.02294824083498"
11,12.0,Central Ann Street Stop 6a,CREEK ST,,502701.6,6962010.6,-27.465444,153.027343,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,2018-05-23T12:00:00+10:00,"{""coordinates"": [153.02734921069876, -27.465430952453957], ""type"": ""Point""}","-27.465430952453957, 153.02734921069876"
12,14.0,Ann St @ City Hall Stop 12,ADELAIDE ST,,502262.7,6961634.0,-27.468844,153.022902,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Medium,2023-04-19T12:00:00+10:00,"{""coordinates"": [153.0229077609724, -27.46883169526218], ""type"": ""Point""}","-27.46883169526218, 153.0229077609724"
13,17.0,Adelaide St f/s George St (Stop 17),GEORGE ST,,502271.7,6961511.4,-27.469951,153.022993,BRISBANE CITY,2 - Intermediate,Y,Hard,Easy,Easy,,"{""coordinates"": [153.02299908325705, -27.46993851177714], ""type"": ""Point""}","-27.46993851177714, 153.02299908325705"
14,18.0,Adelaide St at City Hall (Stop 18),ADELAIDE ST,George St,502293.9,6961530.7,-27.469777,153.023218,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02322374438984, -27.469764234331443], ""type"": ""Point""}","-27.469764234331443, 153.02322374438984"
15,19.0,Adelaide St at City Hall,ADELAIDE ST,Albert St,502346.0,6961572.0,-27.469404,153.023745,BRISBANE CITY,1 - Premium,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02375099460846, -27.46939128951007], ""type"": ""Point""}","-27.46939128951007, 153.02375099460846"
16,20.0,Adelaide St at City Hall,ADELAIDE ST,Albert St,502393.0,6961615.0,-27.469016,153.024221,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02422661862812, -27.46900300407418], ""type"": ""Point""}","-27.46900300407418, 153.02422661862812"
17,21.0,Adelaide St @ Res Bank (Stop 21),ADELAIDE ST,Albert St,502452.9,6961669.0,-27.468528,153.024827,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02483278305138, -27.468515385896467], ""type"": ""Point""}","-27.468515385896467, 153.02483278305138"
18,22.0,Adelaide St f/s Res Bank (Stop 22),ADELAIDE ST,Albert St,502469.6,6961683.5,-27.468397,153.024996,BRISBANE CITY,2 - Intermediate,Y,Easy,Hard,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02500178065696, -27.468384449813353], ""type"": ""Point""}","-27.468384449813353, 153.02500178065696"
19,23.0,Adelaide St opp DJ's (Stop 23),ADELAIDE ST,Edward St,502521.6,6961728.9,-27.467987,153.025522,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02552799766747, -27.46797448361608], ""type"": ""Point""}","-27.46797448361608, 153.02552799766747"
20,24.0,Adelaide St app Edward St,ADELAIDE ST,Edward St,502538.1,6961743.4,-27.467856,153.025689,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02569496936167, -27.467843547053466], ""type"": ""Point""}","-27.467843547053466, 153.02569496936167"
21,25.0,Adelaide St F/S Edward St (Stop 25),ADELAIDE ST,Edward St,502609.5,6961807.2,-27.46728,153.026411,BRISBANE CITY,3 - Regular with seat,Y,Medium,Easy,Easy,,"{""coordinates"": [153.02641749460298, -27.46726742607637], ""type"": ""Point""}","-27.46726742607637, 153.02641749460298"
22,26.0,Adelaide Street @ Broadway,ADELAIDE ST,Edward St,502620.8,6961817.0,-27.467191,153.026526,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02653184378912, -27.46717893002796], ""type"": ""Point""}","-27.46717893002796, 153.02653184378912"
23,27.0,Adelaide St F/S Creek St,ADELAIDE ST,Creek St,502785.3,6961960.1,-27.465899,153.02819,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0281964629086, -27.465886697339005], ""type"": ""Point""}","-27.465886697339005, 153.0281964629086"
24,28.0,Adelaide St at app Hutton L,ADELAIDE ST,Hutton La,502808.6,6961980.2,-27.465718,153.028426,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02843223903835, -27.46570518675292], ""type"": ""Point""}","-27.46570518675292, 153.02843223903835"
25,29.0,Adelaide St F/S Wharf St (Stop 29),ADELAIDE ST,Wharf St,502941.0,6962095.0,-27.464681,153.029766,BRISBANE CITY,2 - Intermediate,Y,Medium,Easy,Hard,,"{""coordinates"": [153.02977199804607, -27.464668493158914], ""type"": ""Point""}","-27.464668493158914, 153.02977199804607"
26,30.0,Adelaide St @ Macrossan St (St 30),ADELAIDE ST,Macrossan,503132.1,6962281.6,-27.462996,153.0317,BRISBANE CITY,3 - Regular with seat,Y,Hard,Easy,Easy,,"{""coordinates"": [153.03170564570237, -27.462983442483026], ""type"": ""Point""}","-27.462983442483026, 153.03170564570237"
27,31.0,Creek Street Stop 149a,CREEK ST,,502761.3,6961901.5,-27.466428,153.027948,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Easy,2018-05-23T12:00:00+10:00,"{""coordinates"": [153.02795368881524, -27.466415786683438], ""type"": ""Point""}","-27.466415786683438, 153.02795368881524"
28,32.0,Cathedral - Adelaide St Stop 32,ADELAIDE ST,,502969.0,6962100.7,-27.46463,153.030049,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Easy,2023-04-21T12:00:00+10:00,"{""coordinates"": [153.03005537301422, -27.46461697275939], ""type"": ""Point""}","-27.46461697275939, 153.03005537301422"
29,33.0,Adelaide St app Wharf St (Stop 33),ADELAIDE ST,Wharf St,502937.5,6962073.5,-27.464875,153.029731,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2017-02-06T11:00:00+10:00,"{""coordinates"": [153.0297366264829, -27.464862602614886], ""type"": ""Point""}","-27.464862602614886, 153.0297366264829"
30,35.0,Adelaide St app Creek St (Stop 35),ADELAIDE ST,Creek St,502781.8,6961938.6,-27.466093,153.028155,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02816108819837, -27.466080806363298], ""type"": ""Point""}","-27.466080806363298, 153.02816108819837"
31,36.0,Adelaide St op Anzac Sq (r) (Stop 36),ADELAIDE ST,Edward St,502658.6,6961826.6,-27.467105,153.026908,BRISBANE CITY,3 - Regular with seat,Y,Medium,Easy,Medium,,"{""coordinates"": [153.02691440646706, -27.46709218794466], ""type"": ""Point""}","-27.46709218794466, 153.02691440646706"
32,37.0,Adelaide St op Anzac Sq (r) (Stop 37),ADELAIDE ST,Edward St,502637.9,6961813.4,-27.467224,153.026699,BRISBANE CITY,3 - Regular with seat,Y,Medium,Easy,Easy,,"{""coordinates"": [153.0267049252016, -27.46721139774381], ""type"": ""Point""}","-27.46721139774381, 153.0267049252016"
33,39.0,Adelaide St Stop 39 at David Jones,ADELAIDE ST,Edward St,502537.3,6961726.7,-27.468007,153.025681,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.0256869072287, -27.467994315999913], ""type"": ""Point""}","-27.467994315999913, 153.0256869072287"
34,40.0,Adelaide St at Broadway (Stop 40),ADELAIDE ST,Edward St,502516.9,6961708.9,-27.468168,153.025474,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.0254804688835, -27.468155052142738], ""type"": ""Point""}","-27.468155052142738, 153.0254804688835"
35,42.0,Adelaide St f\s Albert St (Stop 42),ADELAIDE ST,Albert St,502441.6,6961643.3,-27.46876,153.024712,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02471846312747, -27.468747425580975], ""type"": ""Point""}","-27.468747425580975, 153.02471846312747"
36,43.0,Adelaide St opp City Hall (Stop 43),ADELAIDE ST,Albert St,502392.9,6961601.0,-27.469142,153.02422,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0242256340985, -27.469129396108194], ""type"": ""Point""}","-27.469129396108194, 153.0242256340985"
37,44.0,Adelaide St opp City Hall (Stop 44),ADELAIDE ST,Albert St,502371.5,6961582.3,-27.469311,153.024003,BRISBANE CITY,3 - Regular with seat,Y,Medium,Easy,Easy,,"{""coordinates"": [153.02400907182195, -27.46929825699595], ""type"": ""Point""}","-27.46929825699595, 153.02400907182195"
38,45.0,Adelaide St opp City Hall,ADELAIDE ST,George St,502323.5,6961540.5,-27.469688,153.023517,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02352332198274, -27.469675709795375], ""type"": ""Point""}","-27.469675709795375, 153.02352332198274"
39,46.0,Adelaide St opp City Plaza (Stop 46),ADELAIDE ST,George St,502307.0,6961523.0,-27.469846,153.02335,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-29T12:00:00+10:00,"{""coordinates"": [153.02335635066547, -27.46983372768996], ""type"": ""Point""}","-27.46983372768996, 153.02335635066547"
40,47.0,Adelaide St app George St (Stop 47),ADELAIDE ST,George St,502281.9,6961504.2,-27.470016,153.023096,BRISBANE CITY,3 - Regular with seat,Y,Medium,Medium,Medium,,"{""coordinates"": [153.0231023362492, -27.470003496221917], ""type"": ""Point""}","-27.470003496221917, 153.0231023362492"
41,49.0,Adelaide St  Stop 31  near Macrossan,ADELAIDE ST,,503155.0,6962285.9,-27.462957,153.031931,BRISBANE CITY,4 - Regular,N,Hard,Hard,Hard,,"{""coordinates"": [153.03193740264263, -27.462944569175328], ""type"": ""Point""}","-27.462944569175328, 153.03193740264263"
42,50.0,Mary Street Stop 50,MARY ST,ALBERT ST,502642.5,6961221.1,-27.472571,153.026746,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,2017-01-24T11:00:00+10:00,"{""coordinates"": [153.02675277324462, -27.472558666476267], ""type"": ""Point""}","-27.472558666476267, 153.02675277324462"
43,51.0,Charlotte Street Stop 51,CHARLOTTE ST,ALBERT ST,502687.3,6961404.8,-27.470912,153.0272,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Medium,2017-01-23T11:00:00+10:00,"{""coordinates"": [153.02720582082722, -27.47090013761807], ""type"": ""Point""}","-27.47090013761807, 153.02720582082722"
44,52.0,Charlotte Street Stop 52,CHARLOTTE ST,ALBERT ST,502723.5,6961437.3,-27.470619,153.027566,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Medium,2017-01-24T11:00:00+10:00,"{""coordinates"": [153.0275721498558, -27.470606656012283], ""type"": ""Point""}","-27.470606656012283, 153.0275721498558"
45,56.0,Queen St F/S Edward St (Stop 56),QUEEN ST,Edward St,502712.5,6961745.0,-27.467841,153.027454,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,2023-04-19T12:00:00+10:00,"{""coordinates"": [153.0274601245147, -27.467828765647436], ""type"": ""Point""}","-27.467828765647436, 153.0274601245147"
46,57.0,Queen St F/S Edward St (Stop 57),QUEEN ST,Edward St,502720.6,6961752.0,-27.467778,153.027536,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2023-02-20T11:00:00+10:00,"{""coordinates"": [153.02754209152204, -27.467765553530548], ""type"": ""Point""}","-27.467765553530548, 153.02754209152204"
47,58.0,Queen St F/S Ped Crossing (Stop 58),QUEEN ST,Creek St,502763.0,6961788.7,-27.467447,153.027965,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,2023-04-20T12:00:00+10:00,"{""coordinates"": [153.02797115172905, -27.46743414077055], ""type"": ""Point""}","-27.46743414077055, 153.02797115172905"
48,59.0,Queen St app Creek St (Stop 59),QUEEN ST,Creek St,502793.1,6961815.0,-27.467209,153.02827,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,2023-04-19T12:00:00+10:00,"{""coordinates"": [153.0282757418733, -27.46719664310627], ""type"": ""Point""}","-27.46719664310627, 153.0282757418733"
49,60.0,Queen St F/S Creek St (Stop 60),QUEEN ST,Creek St,502853.8,6961867.9,-27.466731,153.028884,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.0288899781486, -27.466718936311064], ""type"": ""Point""}","-27.466718936311064, 153.0288899781486"
50,61.0,Queen St app Wharf St,QUEEN ST,Wharf St,502940.8,6961943.7,-27.466047,153.029764,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,2017-03-31T12:00:00+10:00,"{""coordinates"": [153.0297703405588, -27.466034429123933], ""type"": ""Point""}","-27.466034429123933, 153.0297703405588"
51,62.0,Eagle St f/s Creek St (Stop 62),EAGLE ST,,502958.4,6961822.5,-27.467141,153.029943,BRISBANE CITY,4 - Regular,N,Hard,Hard,Hard,,"{""coordinates"": [153.02994876847126, -27.467128583667513], ""type"": ""Point""}","-27.467128583667513, 153.02994876847126"
52,63.0,Eagle St app Eagle Lane (Stop 63),EAGLE ST,,502963.1,6961844.3,-27.466944,153.02999,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Medium,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02999628513697, -27.46693176320917], ""type"": ""Point""}","-27.46693176320917, 153.02999628513697"
53,64.0,Eagle St spp Eagle Lane (Stop 64),EAGLE ST,,502975.1,6961890.9,-27.466524,153.030112,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,2023-04-20T12:00:00+10:00,"{""coordinates"": [153.03011762573533, -27.466511032564718], ""type"": ""Point""}","-27.466511032564718, 153.03011762573533"
54,65.0,Eagle St app Queen St (Stop 65),QUEEN ST,,502981.0,6961916.1,-27.466296,153.030171,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,2023-04-27T12:00:00+10:00,"{""coordinates"": [153.03017727890295, -27.466283514226046], ""type"": ""Point""}","-27.466283514226046, 153.03017727890295"
55,66.0,Queen St app Adelaide St (Stop 66),QUEEN ST,,503096.8,6962185.4,-27.463865,153.031342,BRISBANE CITY,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.0313486242041, -27.463852016579587], ""type"": ""Point""}","-27.463852016579587, 153.0313486242041"
56,67.0,Queen St app Ann St (Orient) (St 67),QUEEN ST,Ann St,503071.8,6962301.5,-27.462816,153.031089,BRISBANE CITY,3 - Regular with seat,Y,Medium,Medium,Medium,,"{""coordinates"": [153.03109530634134, -27.46280392283889], ""type"": ""Point""}","-27.46280392283889, 153.03109530634134"
57,72.0,Queen St f/s Eagle Lane (stop 72),QUEEN ST,Eagle La,502925.0,6961911.6,-27.466337,153.029604,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Medium,2023-04-27T12:00:00+10:00,"{""coordinates"": [153.0296105036592, -27.46632426177489], ""type"": ""Point""}","-27.46632426177489, 153.0296105036592"
58,74.0,Queen St app Creek St (Stop 74),QUEEN ST,Creek St,502864.7,6961858.9,-27.466813,153.028994,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02900032069837, -27.46680016533009], ""type"": ""Point""}","-27.46680016533009, 153.02900032069837"
59,76.0,Queen St Farside Creek St.,QUEEN ST,Creek St,502785.5,6961789.8,-27.467437,153.028193,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02819887812683, -27.4674241640866], ""type"": ""Point""}","-27.4674241640866, 153.02819887812683"
60,81.0,Elizabeth St F/S George St (Stop 81),ELIZABETH ST,George St,502442.4,6961359.4,-27.471323,153.024721,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,2023-04-21T12:00:00+10:00,"{""coordinates"": [153.02472713182914, -27.471310470102587], ""type"": ""Point""}","-27.471310470102587, 153.02472713182914"
61,82.0,Elizabeth app Albert St (r) (Stop 82),ELIZABETH ST,Albert St,502518.3,6961425.5,-27.470726,153.025489,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Hard,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02549522706914, -27.4707135817185], ""type"": ""Point""}","-27.4707135817185, 153.02549522706914"
62,83.0,Elizabeth St app Albert St (Stop 83),ELIZABETH ST,Albert St,502541.0,6961445.3,-27.470547,153.025719,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02572494558004, -27.470534785338668], ""type"": ""Point""}","-27.470534785338668, 153.02572494558004"
63,84.0,Elizabeth St F/S Albert St (Stop 84),ELIZABETH ST,Albert St,502704.8,6961588.4,-27.469255,153.027377,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.0273825394867, -27.469242564266818], ""type"": ""Point""}","-27.469242564266818, 153.0273825394867"
64,85.0,Elizabeth St at Shoe City (Stop 85),ELIZABETH ST,Albert St,502606.8,6961502.7,-27.470029,153.026385,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02639082146555, -27.470016454288317], ""type"": ""Point""}","-27.470016454288317, 153.02639082146555"
65,87.0,Elizabeth St app Edward St (Stop 87),ELIZABETH ST,Edward St,502591.6,6961489.4,-27.470149,153.026231,BRISBANE CITY,4 - Regular,Y,Easy,Medium,Medium,2023-04-21T12:00:00+10:00,"{""coordinates"": [153.02623700275188, -27.47013655558349], ""type"": ""Point""}","-27.47013655558349, 153.02623700275188"
66,89.0,Elizabeth St rear of GPO (Stop 89),ALBERT ST,Creek St,502840.8,6961707.2,-27.468182,153.028753,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02875877858, -27.46816976178048], ""type"": ""Point""}","-27.46816976178048, 153.02875877858"
67,90.0,Charlotte St app Market St (Stop 90),CHARLOTTE ST,Market St,502916.4,6961607.7,-27.46908,153.029518,BRISBANE CITY,4 - Regular,Y,Easy,Medium,Hard,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02952419204058, -27.469067886781673], ""type"": ""Point""}","-27.469067886781673, 153.02952419204058"
68,93.0,Alice St app George St (Stop 95A),ALICE ST,,502800.7,6961064.4,-27.473986,153.028348,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Hard,2017-02-06T11:00:00+10:00,"{""coordinates"": [153.02835439653023, -27.4739730349658], ""type"": ""Point""}","-27.4739730349658, 153.02835439653023"
69,94.0,Margaret St (Stop 94),MARGARET ST,George St,502682.6,6961125.9,-27.473431,153.027153,BRISBANE CITY,4 - Regular,Y,Easy,Medium,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.0271588661288, -27.473418052093134], ""type"": ""Point""}","-27.473418052093134, 153.0271588661288"
70,95.0,Alice Street Stop 95,ALICE ST,George St,502719.7,6960993.6,-27.474625,153.027529,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.02753468278448, -27.474612380575053], ""type"": ""Point""}","-27.474612380575053, 153.02753468278448"
71,96.0,Alice Street Stop 96,ALICE ST,Edward St,502933.4,6961180.5,-27.472937,153.029691,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.02969728956572, -27.472924606246494], ""type"": ""Point""}","-27.472924606246494, 153.02969728956572"
72,97.0,Margaret Street Stop 97,MARGARET ST,Albert St,502750.2,6961185.4,-27.472893,153.027837,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Medium,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.02784296706835, -27.472880751985937], ""type"": ""Point""}","-27.472880751985937, 153.02784296706835"
73,98.0,Margaret St F/S Edward St (Stop 98),MARGARET ST,Felix St,502973.3,6961380.2,-27.471134,153.030095,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Hard,2023-04-26T12:00:00+10:00,"{""coordinates"": [153.03010065931278, -27.471121630864197], ""type"": ""Point""}","-27.471121630864197, 153.03010065931278"
74,99.0,Botanic Gardens Alice St. Stop 96A,ALICE ST,,502833.8,6961093.3,-27.473725,153.028683,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.02868936332516, -27.47371205766737], ""type"": ""Point""}","-27.47371205766737, 153.02868936332516"
75,100.0,QUT Margaret St. Stop 94A,MARGARET ST,,502642.3,6961090.4,-27.473751,153.026745,BRISBANE CITY,4 - Regular,Y,Easy,Medium,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.0267510336276, -27.473738624424676], ""type"": ""Point""}","-27.473738624424676, 153.0267510336276"
76,106.0,North Quay @ Herschel St (St 106),NORTH QUAY,,501814.9,6961723.9,-27.468033,153.018369,BRISBANE CITY,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.01837525744193, -27.468020750027655], ""type"": ""Point""}","-27.468020750027655, 153.01837525744193"
77,108.0,George St City Precincts (Stop 108),GEORGE ST,,502575.4,6961103.3,-27.473635,153.026068,BRISBANE CITY,4 - Regular,Y,Easy,Medium,Easy,2017-02-06T11:00:00+10:00,"{""coordinates"": [153.02607385369373, -27.473622291784668], ""type"": ""Point""}","-27.473622291784668, 153.02607385369373"
78,109.0,North Quay Stop 109/110,NORTH QUAY,Adelaide St,502141.6,6961435.7,-27.470635,153.021676,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Medium,2018-05-23T12:00:00+10:00,"{""coordinates"": [153.02168240781992, -27.470622141569894], ""type"": ""Point""}","-27.470622141569894, 153.02168240781992"
79,114.0,George St F/S Alice St (Stop 114),GEORGE ST,Alice St,502628.7,6961044.1,-27.474169,153.026607,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Medium,2016-10-07T12:00:00+10:00,"{""coordinates"": [153.02661347666057, -27.474156646413267], ""type"": ""Point""}","-27.474156646413267, 153.02661347666057"
80,115.0,George St. Stop 115,GEORGE ST,Mary St,502514.6,6961173.1,-27.473005,153.025452,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.02545830044107, -27.472992252272437], ""type"": ""Point""}","-27.472992252272437, 153.02545830044107"
81,116.0,Queen Street Mall George St. Stop 116,QUEEN ST,,502351.8,6961360.5,-27.471313,153.023804,BRISBANE CITY,2 - Intermediate,Y,Medium,Medium,Easy,2018-03-12T11:00:00+10:00,"{""coordinates"": [153.0238101091195, -27.471300699004473], ""type"": ""Point""}","-27.471300699004473, 153.0238101091195"
82,117.0,George St app Turbot (r) (Stop 117),GEORGE ST,Turbot St,502133.8,6961611.5,-27.469048,153.021597,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2016-10-07T12:00:00+10:00,"{""coordinates"": [153.0216031503278, -27.4690350333557], ""type"": ""Point""}","-27.4690350333557, 153.0216031503278"
83,118.0,George St app Turbot St (Stop 118),GEORGE ST,,502120.4,6961626.9,-27.468909,153.021461,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,2016-10-07T12:00:00+10:00,"{""coordinates"": [153.0214674962224, -27.46889602326154], ""type"": ""Point""}","-27.46889602326154, 153.0214674962224"
84,119.0,George St F/S Tank St (Stop 119),GEORGE ST,,502002.8,6961762.4,-27.467685,153.020271,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,2016-10-07T12:00:00+10:00,"{""coordinates"": [153.02027699362569, -27.467672908695924], ""type"": ""Point""}","-27.467672908695924, 153.02027699362569"
