OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,geo_shape,geo_point_2d
5631,11170.0,London Street - 26,SANDGATE RD,London Rd,505270.2,6966998.7,-27.420404,153.053318,CLAYFIELD,2 - Intermediate,N,Easy,Hard,Hard,,"{""coordinates"": [153.05332462422953, -27.420390754754365], ""type"": ""Point""}","-27.420390754754365, 153.05332462422953"
5632,11171.0,Bayview / Armagh,BAYVIEW TCE,,505015.6,6967163.1,-27.418921,153.050742,CLAYFIELD,5 - District,N,Hard,Hard,Hard,,"{""coordinates"": [153.05074816029938, -27.41890750412821], ""type"": ""Point""}","-27.41890750412821, 153.05074816029938"
5633,11172.0,London Street - 26,SANDGATE RD,London Rd,505236.9,6966941.8,-27.420917,153.052982,CLAYFIELD,2 - Intermediate,Y,Medium,Medium,Medium,,"{""coordinates"": [153.05298797352773, -27.420904579169754], ""type"": ""Point""}","-27.420904579169754, 153.05298797352773"
5634,11180.0,Victoria Parade - 24,BONNEY AV,Adelaide St,504684.1,6966964.0,-27.420719,153.04739,CLAYFIELD,2 - Intermediate,Y,Easy,Medium,Medium,2017-05-22T12:00:00+10:00,"{""coordinates"": [153.0473951895456, -27.420706169019443], ""type"": ""Point""}","-27.420706169019443, 153.0473951895456"
5635,11181.0,Victoria Parade - 24,BONNEY AV,Victoria Pde,504653.6,6966860.6,-27.421653,153.047081,CLAYFIELD,2 - Intermediate,Y,Medium,Easy,Medium,2017-05-19T12:00:00+10:00,"{""coordinates"": [153.04708701618705, -27.421639773866683], ""type"": ""Point""}","-27.421639773866683, 153.04708701618705"
5636,11182.0,Bonney Avenue - 23,BONNEY AV,Lisson Gr,504642.4,6966700.5,-27.423098,153.046968,CLAYFIELD,2 - Intermediate,Y,Easy,Easy,Medium,2017-05-15T12:00:00+10:00,"{""coordinates"": [153.04697431593678, -27.4230852025851], ""type"": ""Point""}","-27.4230852025851, 153.04697431593678"
5637,11183.0,Bonney Avenue - 23,BONNEY AVE,,504620.8,6966650.1,-27.423553,153.04675,CLAYFIELD,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.04675597518187, -27.423540289581798], ""type"": ""Point""}","-27.423540289581798, 153.04675597518187"
5638,11184.0,Rees Avenue - 22,BONNEY AV,Rees Av,504605.2,6966449.7,-27.425362,153.046593,CLAYFIELD,2 - Intermediate,Y,Easy,Easy,Medium,2017-05-15T12:00:00+10:00,"{""coordinates"": [153.0465989047963, -27.42534956272373], ""type"": ""Point""}","-27.42534956272373, 153.0465989047963"
5639,11185.0,Rees Avenue - 22,BONNEY AV,Rees Av,504584.3,6966405.9,-27.425758,153.046382,CLAYFIELD,4 - Regular,Y,Medium,Easy,Medium,,"{""coordinates"": [153.04638761541105, -27.425745061547406], ""type"": ""Point""}","-27.425745061547406, 153.04638761541105"
5640,11186.0,Bonney Avenue - 21,BONNEY AV,Sandgate Rd,504572.1,6966223.3,-27.427406,153.046259,CLAYFIELD,2 - Intermediate,Y,Easy,Easy,Medium,2017-05-15T12:00:00+10:00,"{""coordinates"": [153.04626486899173, -27.42739362316435], ""type"": ""Point""}","-27.42739362316435, 153.04626486899173"
